"id","status","species","common_name","scientific_name","year_nominated","circumference","height","spread","total_points","state","location"
"2648","Champion","ACACIA","Blackbrush","Acacia rigidula","1999","21","28","39","59","AZ","Glendale"
"5060","Champion","ACACIA","Koa","Acacia koa","2012","343","115","93","481","HI","Kona Hema Preserve"
"5731","Champion","ACACIA","Whitethorn","Vachellia constricta","2016","13","16.5","18.5","34","AZ","Marana"
"6326","Champion","AILANTHUS","Tree-of-heaven","Ailanthus altissima","2018","194","58","66","269","PA","Philadelphia"
"2651","Champion","ALASKA-CEDAR","","Cupressus nootkatensis","1979","454","124","28","585","WA","Olympic NP"
"2652","Champion","ALDER","Arizona","Alnus oblongifolia","1982","199","128","58","342","NM","Cibola NF"
"5000","Champion","ALDER","European","Alnus glutinosa","2011","106","95","40","211","IA","Davenport"
"5792","Champion","ALDER","Hazel","Alnus serrulata","2016","29","44","47","85","VA","Northampton County"
"2656","Champion","ALDER","Mountain","Alnus incana ssp. tenuifolia","1995","94","71","39","175","WA","Umatilla NF"
"5758","Champion","ALDER","Red","Alnus rubra","2016","165","98","68","280","OR","Benton County"
"5768","Champion","ALDER","Sitka","Alnus viridis ssp. sinuata","2016","15","26","6","43","MT","Flathead"
"5326","Champion","ALDER","Speckled","Alnus incana ssp. rugosa","2013","40","53","28","100","NY","Livingston County"
"2660","Champion","ALDER","White","Alnus rhombifolia","1986","151","91","31","250","OR","Polk"
"2661","Champion","ALLTHORN","","Koeberlinia spinosa","1993","27","23","19","55","AZ","Boyce Thompson Arboretum"
"4536","Champion","AMERICAN-HAZEL","Hazelnut","Corylus americana","2009","40","35","35","84","MI","Washtenaw"
"5279","Champion","ANACAHUITA","","Cordia boissieri","2013","90","26","38.5","126","TX","Edinburg"
"3968","Co-Champion","ANACUA","","Ehretia anacua","2007","148","40","65.5","204","TX","DeWitt County"
"3967","Co-Champion","ANACUA","","Ehretia anacua","2007","144","51","46.5","207","TX","Mission"
"5222","Co-Champion","ANACUA","","Ehretia anacua","2013","147","49","43.5","207","TX","Kenedy"
"5424","Champion","ANISE-TREE","Yellow","Illicium parviflorum","2014","9","20","4","30","FL","Marion"
"5645","Champion","APPLE","Common","Malus sylvestris","2015","197","27","29.5","231","ME","West Falmouth"
"6170","Champion","APPLE","Oregon crab","Malus fusca","","90","48","73.5","156","WA","Seattle"
"4784","Champion","APPLE","Prairie crab","Malus ioensis","2011","39","23","30","70","MO","Callaway"
"5852","Champion","APPLE","Southern crab","Malus angustifolia","2017","112","45","40","167","MD","Rockville"
"6337","Champion","APPLE","Sweet crab","Malus coronaria","2018","56","34","40","100","VA","Albermarle"
"6206","Champion","ARBORVITAE","Oriental","Platycladus orientalis","2018","151","41","36","201","OK","Grant County"
"6091","Champion","ASH","Black","Fraxinus nigra","2017","137","85","75","241","NJ",""
"4646","Champion","ASH","Blue","Fraxinus quadrangulata","2009","208","82","72.5","308","KY","Jefferson"
"5258","Champion","ASH","Carolina","Fraxinus caroliniana","2013","136","116","45.5","263","FL","Lake"
"2681","Champion","ASH","Fragrant","Fraxinus cuspidata","2004","46","40","37","95","AZ","Coconino NF"
"2682","Champion","ASH","Goodding","Fraxinus gooddingii","1995","25","25","20","55","AZ","Coronado NF"
"6196","Co-Champion","ASH","Green","Fraxinus pennsylvanica","2018","226","96","99.5","347","MD","Perryville"
"5795","Co-Champion","ASH","Green","Fraxinus pennsylvanica","2016","237","97","83","355","VA","Alexandria City"
"4602","Champion","ASH","Gregg","Fraxinus greggii","2009","14","20.5","11","37","TX","Big Bend NP"
"2685","Champion","ASH","Lowell","Fraxinus anomala var. lowellii","2003","58","33","21","96","AZ","Prescott NF"
"5042","Champion","ASH","Oregon","Fraxinus latifolia","2007","285","81","74","385","OR","Multnomah"
"4807","Champion","ASH","Singleleaf","Fraxinus anomala var. anomala","2011","54","35","28","96","CO","Mesa"
"5333","Champion","ASH","Texas","Fraxinus texensis","2013","100","54","52","167","NY","Monroe County"
"4378","Co-Champion","ASH","White","Fraxinus americana","2009","244","117.5","99","386","MD","Howard County"
"4660","Co-Champion","ASH","White","Fraxinus americana","1983","283","84","84","388","NY","Rockland"
"5032","Co-Champion","ASH","White","Fraxinus americana","2012","255","115","111","398","NJ","Morris"
"4854","Co-Champion","ASH","White","Fraxinus americana","2011","252","118","128","402","NJ","Morris"
"6260","Champion","ASPEN","Bigtooth","Populus grandidentata","2018","116","111","54","241","MN","Sandstone, Minnesota"
"4115","Champion","ASPEN","Quaking","Populus tremuloides","2007","152","130","36","291","AZ","Coronado NF"
"6032","Champion","BACCHARIS","Eastern","Baccharis halimifolia","2016","36","20","20","61","VA","City of Chesapeake"
"5898","Champion","BALDCYPRESS","Common","Taxodium distichum","2017","626","91","87","739","LA","Cat Island National Wildlife Refuge"
"2701","Champion","BALDCYPRESS","Montezuma","Taxodium mucronatum","1995","336","70","90","429","TX","San Benito"
"5136","Champion","BASSWOOD","American","Tilia americana","2012","276","102","85.5","399","KY","Lexington Cemetery"
"4365","Champion","BASSWOOD","Carolina","Tilia americana var. caroliniana","2009","122","120","75","261","FL","Wakulla"
"6347","Champion","BASSWOOD","White","Tilia americana var. heterophylla","2018","186","90","81","296","VA","Radford City"
"6053","Champion","BAY","Swamp","Persea palustris","2017","114","50","54","178","VA","City of Virginia Beach"
"5638","Co-Champion","BAYBERRY","Evergreen","Morella caroliniensis","2015","6","14","14","24","VA","City of Newport News"
"5637","Co-Champion","BAYBERRY","Evergreen","Morella caroliniensis","2015","7","14","10","24","VA","City of Newport News"
"5783","Co-Champion","BAYBERRY","Northern","Morella pensylvanica","2016","30","16.5","15","50","CT","Westport"
"4405","Co-Champion","BAYBERRY","Northern","Morella pensylvanica","2009","25","21","20","51","NY","Nassau"
"3789","Champion","BAYBERRY","Odorless","Morella inodora","2007","15","27","16","46","AL","Baldwin"
"4667","Champion","BAYBERRY","Pacific","Morella californica","2010","97","24.17","34.17","130","OR","Coos"
"5515","Champion","BAYBERRY","Southern","Morella cerifera","2014","53","26","24","85","VA","City of Chesapeake"
"4746","Champion","BEECH","American","Fagus grandifolia","2010","293","92","42","396","MA","Bristol"
"5303","Champion","BIRCH","Alaska paper","Betula neoalaskana","2013","116","80","42","207","AK","Private Property"
"6150","Co-Champion","BIRCH","European white","Betula pendula","2018","140","62","64.5","218","ID","Cambridge, Washington County"
"5750","Co-Champion","BIRCH","European white","Betula pendula","2014","124","78","68","219","OR","Clackamas County"
"4160","Champion","BIRCH","Gray","Betula populifolia","2007","95","48","59","158","NJ","Middle Township"
"4945","Champion","BIRCH","Kenai","Betula papyrifera var. kenaica","2011","76","37","43","124","AK","Kenai"
"4982","Champion","BIRCH","Mountain paper","Betula papyrifera var. cordifolia","2011","63","48","32","119","NH","Coos"
"2715","Champion","BIRCH","Mountain paper","Betula papyrifera var. cordifolia","1973","108","90","88","220","MI","Leelanau"
"4283","Champion","BIRCH","Paper","Betula papyrifera","2008","199","113","85","333","WA","Skagit"
"5910","Champion","BIRCH","River","Betula nigra","2017","219","145","102.5","390","KY","Buckhorn Lake State Park"
"6331","Co-Champion","BIRCH","Sweet","Betula lenta","2018","140","91","64","247","VA","Giles"
"6019","Co-Champion","BIRCH","Sweet","Betula lenta","1988","170","62","71.17","250","NH","New Boston"
"5310","Champion","BIRCH","Virginia roundleaf","Betula uber","1978","35","54","31","97","VA","Smyth County"
"4633","Champion","BIRCH","Water","Betula occidentalis","2009","108","38","45","157","OR","Wallowa"
"5973","Champion","BIRCH","Yellow","Betula alleghaniensis","2017","242","95","80","357","ME","Wayne"
"4671","Champion","BITTERBUSH","","Picramnia pentandra","2010","13","15","16","32","FL","Miami-Dade"
"2726","Champion","BLACK-MANGROVE","Black mangrove","Avicennia germinans","2003","86","52","34","147","FL","Monroe"
"2730","Champion","BLACKBEAD","Florida keys","Pithecellobium keyense","1995","19","16","21","40","FL","Monroe"
"2728","Champion","BLACKBEAD","Texas ebony","Ebenopsis ebano","1991","190","46","75","255","TX","McAllen"
"4605","Champion","BLACKHAW","Rusty","Viburnum rufidulum","2009","69","27","41","106","TX","Cherokee County"
"4757","Co-Champion","BLACKHAW","Smooth","Viburnum prunifolium","2010","76","33","40","119","VA","Albemarle County"
"5635","Co-Champion","BLACKHAW","Smooth","Viburnum prunifolium","2015","80","31","37","120","VA","Charlotte County"
"4308","Champion","BLADDERNUT","American","Staphylea trifolia","2008","15","28","22","49","MI","Berrien"
"2735","Champion","BLADDERNUT","Sierra","Staphylea bolanderi","1986","14","28","12","45","CA","Fresno County"
"4952","Co-Champion","BLOLLY","Longleaf","Guapira discolor","2011","58","42","17","104","FL","Miami-Dade"
"4953","Co-Champion","BLOLLY","Longleaf","Guapira discolor","2011","35","64","22","105","FL","Miami-Dade"
"5248","Champion","BLUEBLOSSOM","Blue-myrtle","Ceanothus thyrsiflorus","2011","52","24","39","86","OR","Curry"
